#{"t_start": 1713296370.8827949, "env_id": "SpaceInvadersNoFrameskip-v4"}
r,l,t
20.0,1493,1.648901
120.0,2067,2.347379
140.0,1703,2.952235
130.0,2569,3.86152
35.0,1067,4.242865
45.0,1489,4.787409
210.0,2647,5.740051
260.0,2505,6.644198
80.0,2003,7.320858
345.0,3825,8.570217
60.0,1507,9.083618
50.0,1849,9.742916
120.0,2121,10.517824
70.0,1415,11.037547
50.0,1207,11.482342
95.0,1711,12.084417
410.0,2547,12.983859
30.0,1579,13.543446
180.0,1959,14.237051
140.0,1929,14.924391
80.0,1477,15.448489
145.0,1977,16.149822
240.0,2897,17.206106
85.0,1197,17.627139
210.0,1953,18.313266
225.0,2315,19.149917
85.0,1167,19.574112
210.0,2457,20.444782
50.0,1291,20.898669
80.0,1561,21.45438
445.0,2865,22.464547
75.0,1527,23.012076
30.0,1815,23.648128
460.0,2861,24.651434
110.0,1935,25.341647
340.0,2349,26.129344
90.0,1461,26.617146
135.0,1839,27.241381
40.0,1127,27.620531
135.0,2133,28.330066
125.0,1561,28.851926
360.0,3633,30.120246
75.0,1179,30.515981
105.0,1547,31.039434
70.0,2049,31.7339
135.0,2173,32.487432
210.0,2791,33.423705
180.0,2021,34.099754
45.0,1201,34.512287
135.0,2125,35.271666
240.0,2209,36.010019
330.0,3693,42.106195
95.0,2165,42.842937
105.0,1565,43.372219
110.0,2117,44.082258
75.0,1143,44.471958
155.0,2381,45.277055
90.0,1225,45.708835
65.0,1617,46.294862
90.0,1675,46.863663
135.0,1917,47.513682
80.0,1885,48.150537
90.0,1595,48.686241
135.0,1967,49.345832
440.0,2625,50.219887
50.0,1241,50.63592
155.0,2293,51.404082
215.0,2383,52.204
105.0,1759,52.80297
175.0,2231,53.552645
170.0,2023,54.227653
105.0,1869,54.85144
170.0,2673,55.744761
165.0,1727,56.326081
60.0,1149,56.713837
135.0,1829,57.331289
80.0,1527,57.85059
55.0,1273,58.290125
120.0,2079,58.984657
120.0,1993,59.671613
125.0,1919,60.361552
210.0,2425,61.219249
85.0,2241,62.007149
135.0,2113,62.790411
30.0,1137,63.198692
80.0,1887,63.876266
80.0,1501,64.416531
430.0,2929,65.435686
355.0,2797,66.376114
135.0,1901,67.016577
155.0,2207,67.755405
75.0,1847,68.380476
135.0,2185,69.107574
175.0,2435,69.917495
155.0,3015,70.918931
180.0,2479,71.753474
140.0,1931,72.406671
180.0,2003,73.078078
215.0,2531,73.953895
185.0,1921,74.612474
155.0,2085,75.330402
195.0,2657,76.215591
155.0,2097,81.976727
185.0,2125,82.760006
180.0,3447,83.983596
55.0,1587,84.56252
215.0,2411,85.4159
105.0,1169,85.843239
215.0,1917,86.528913
90.0,1543,87.077275
165.0,2063,87.796985
45.0,1177,88.206086
180.0,2059,88.940686
140.0,2091,89.695526
180.0,2235,90.514901
210.0,2629,91.426153
130.0,3375,92.614247
55.0,1521,93.145391
70.0,1211,93.574288
110.0,1681,94.170747
210.0,2459,95.069902
545.0,3757,96.355729
540.0,3689,97.5724
180.0,2353,98.355129
30.0,1431,98.83913
90.0,1867,99.461915
120.0,1839,100.076207
45.0,1523,100.590152
85.0,1165,100.979383
135.0,1577,101.510188
125.0,2367,102.304227
180.0,1911,102.944919
310.0,2965,103.930348
175.0,2231,104.68213
110.0,1357,105.141226
140.0,2169,105.872493
35.0,1091,106.238243
105.0,1791,106.850734
120.0,2235,107.601007
180.0,1963,108.258943
90.0,1545,108.787389
90.0,1477,109.292273
105.0,2079,110.008735
210.0,2399,110.820925
230.0,2737,111.738046
80.0,2137,112.462963
30.0,1555,112.986071
90.0,2183,113.71653
20.0,1597,114.256629
45.0,1809,114.881206
240.0,2751,115.799944
180.0,2185,116.528627
120.0,2339,123.112979
15.0,1753,123.698745
595.0,3743,124.999394
90.0,1543,125.546188
70.0,1613,126.088692
90.0,1971,126.746162
90.0,1653,127.340734
65.0,1201,127.771493
240.0,2369,128.593382
350.0,2251,129.377115
45.0,1191,129.798603
185.0,2869,130.798623
150.0,2293,131.612316
110.0,1871,132.28213
10.0,1147,132.684708
100.0,2011,133.384829
55.0,1199,133.80773
135.0,2061,134.534569
80.0,1927,135.221291
75.0,1907,135.893156
125.0,1821,136.532937
140.0,2409,137.385093
250.0,2835,138.372736
105.0,1751,138.981408
225.0,2205,139.760133
380.0,2465,140.623422
115.0,1829,141.278229
335.0,2401,142.133264
260.0,3245,143.275237
450.0,3943,144.640356
135.0,1643,145.231394
265.0,2523,146.147091
75.0,1327,146.617732
150.0,2375,147.434901
270.0,3187,148.544264
175.0,3439,149.739746
125.0,2115,150.502282
180.0,3035,151.564466
215.0,2727,152.522036
105.0,1925,153.212164
155.0,2369,154.035332
135.0,1967,154.736711
140.0,1945,155.422294
135.0,2367,156.217964
45.0,1515,156.731607
120.0,2123,157.44667
255.0,3415,165.552279
225.0,3729,169.1292
105.0,3379,172.531408
100.0,1855,174.274951
20.0,1463,175.673789
210.0,2637,178.261791
130.0,2943,181.084199
50.0,1493,182.553194
80.0,1881,184.370941
160.0,2041,186.419025
25.0,1869,188.252896
85.0,2027,190.174256
165.0,3829,193.914004
60.0,1993,195.796944
190.0,2869,198.560484
80.0,2103,200.571563
80.0,2771,203.278864
70.0,2057,205.298093
15.0,1993,207.273519
220.0,3563,210.780486
225.0,1919,212.688481
325.0,2663,215.357248
240.0,2593,217.891058
305.0,3489,221.283254
50.0,2051,223.335327
165.0,3815,227.097309
105.0,2031,229.050904
310.0,3771,232.703974
215.0,3217,235.885831
100.0,1571,237.414532
415.0,3287,240.587497
130.0,3001,243.512127
110.0,2035,245.594238
170.0,2165,247.765257
115.0,2013,249.731827
125.0,1513,251.187832
275.0,3583,254.619586
255.0,3631,258.075634
810.0,4307,262.150546
45.0,1219,263.313185
445.0,2435,275.258845
360.0,3879,278.943319
145.0,2173,281.010386
225.0,3441,284.282361
400.0,3329,287.602797
350.0,3283,290.79683
160.0,1669,292.409595
210.0,2099,294.465174
330.0,2687,297.084133
100.0,1133,298.133393
365.0,3365,301.360836
195.0,1993,303.316407
140.0,2697,305.990578
60.0,1111,307.042795
65.0,1917,308.907797
170.0,2175,311.004393
245.0,2517,313.408684
120.0,1951,315.250318
105.0,1959,317.148461
110.0,1903,319.050814
50.0,1205,320.190953
125.0,1721,321.820813
175.0,3669,325.411671
110.0,2037,327.390435
225.0,3923,331.183941
110.0,1815,332.996842
215.0,2197,335.20627
235.0,1869,337.059315
190.0,1909,338.885417
270.0,2849,341.615775
105.0,1977,343.541682
240.0,2461,345.881274
180.0,2005,347.817282
255.0,3315,351.024145
140.0,1889,352.852369
120.0,1955,354.6874
630.0,3359,358.090399
110.0,2799,360.774209
125.0,1577,362.296511
365.0,3033,365.306782
180.0,1921,367.177532
140.0,2047,369.181623
300.0,5385,381.024411
570.0,5247,386.180195
425.0,4331,390.362293
145.0,1587,391.916856
90.0,1153,393.057367
295.0,4009,397.04399
375.0,3759,400.741146
265.0,2909,403.558021
250.0,2467,405.92697
85.0,1545,407.404262
190.0,1893,409.172241
170.0,2243,411.31339
435.0,4375,415.47684
325.0,3309,418.753614
80.0,2095,420.816414
165.0,1979,422.781412
45.0,1621,424.368689
420.0,3021,427.355812
235.0,2371,429.626281
225.0,2461,431.956781
195.0,2079,433.931446
455.0,4249,438.002558
205.0,2851,440.7608
205.0,1925,442.622511
85.0,1987,444.49733
120.0,1867,446.305174
200.0,1525,447.75449
200.0,2779,450.4297
230.0,3533,453.957627
135.0,1865,455.811982
420.0,3413,459.102202
215.0,2379,461.379865
135.0,1835,463.156249
160.0,1881,464.93004
165.0,2027,466.879161
245.0,2725,469.485917
290.0,3411,472.86064
305.0,3347,476.122556
185.0,2201,485.152451
140.0,2441,487.459633
125.0,1775,489.218856
105.0,1715,490.85169
155.0,2105,492.889403
75.0,1093,493.926146
275.0,2785,496.616105
95.0,2063,498.62196
170.0,2095,500.621825
135.0,3205,503.780789
90.0,1087,504.84221
465.0,3217,507.950768
185.0,3259,511.145545
175.0,1923,513.022216
225.0,2795,515.83178
160.0,2803,518.548076
105.0,1199,519.731924
165.0,1947,521.613367
215.0,2039,523.584061
270.0,2241,525.764421
175.0,2611,528.243591
80.0,1149,529.367905
210.0,2523,531.776603
205.0,2015,533.706897
325.0,3767,537.332725
130.0,1463,538.721443
260.0,2241,540.856549
140.0,2443,543.383633
75.0,1599,545.009885
205.0,2235,547.132078
240.0,3099,550.117626
255.0,2625,552.640952
90.0,1951,554.491642
250.0,2447,556.87554
105.0,1577,558.35629
110.0,1947,560.262176
155.0,1967,562.192088
70.0,1211,563.380438
125.0,2063,565.396659
400.0,3339,568.600846
190.0,2437,570.940835
245.0,2275,573.208214
155.0,1919,575.092078
210.0,1765,576.855922
355.0,2993,579.730691
245.0,2853,582.52148
225.0,1479,590.438812
350.0,3407,593.768944
190.0,1843,595.593371
275.0,2439,597.972499
295.0,2913,600.758504
375.0,3013,603.745813
205.0,2119,605.944497
125.0,1657,607.564596
120.0,1191,608.703974
105.0,1085,609.740342
90.0,1459,611.14062
335.0,2981,614.000422
210.0,1797,615.733862
160.0,1425,617.129268
190.0,2079,619.090336
205.0,2181,621.198647
275.0,2387,623.522198
320.0,4051,627.357475
90.0,1043,628.32476
105.0,1421,629.692955
230.0,2513,632.181948
150.0,2035,634.181134
505.0,3289,637.454894
235.0,1905,639.247918
490.0,2903,642.051667
175.0,2095,644.051906
190.0,1953,645.954694
135.0,1929,647.81522
380.0,2829,650.513478
320.0,3597,653.973166
535.0,3371,657.24171
255.0,1983,659.161586
80.0,1147,660.269617
260.0,2419,662.618478
295.0,2787,665.407547
425.0,2989,668.4025
275.0,2151,670.476623
260.0,2213,672.633295
480.0,2879,675.440063
220.0,3139,678.500001
315.0,2169,680.583539
105.0,1639,682.177681
145.0,1923,684.038679
800.0,4517,688.343538
490.0,3337,699.159274
360.0,3071,702.127219
280.0,2431,704.508118
125.0,1667,706.125953
215.0,1729,707.76573
125.0,1273,708.99457
205.0,1751,710.634516
220.0,2629,713.215496
405.0,2593,715.752446
255.0,2097,717.776327
375.0,3291,720.953496
150.0,2081,723.033741
85.0,1049,724.032487
135.0,1545,725.581621
390.0,2981,728.64073
275.0,2977,731.549212
330.0,2633,734.0973
255.0,2885,736.86973
130.0,2037,738.802156
545.0,2739,741.423297
230.0,2175,743.505967
165.0,1859,745.344987
270.0,2903,748.138568
175.0,1939,749.977229
450.0,3415,753.391401
395.0,3507,756.826653
180.0,2121,758.927641
185.0,2087,760.952047
185.0,1915,762.768527
190.0,1865,764.598696
415.0,3885,768.368475
100.0,2077,770.430332
530.0,3305,773.656595
185.0,2065,775.678135
185.0,1641,777.228834
250.0,2313,779.441214
355.0,3547,782.916983
285.0,3348,786.162974
395.0,2873,789.045619
105.0,1067,790.121863
775.0,4193,794.126358
130.0,1461,795.514336
50.0,1569,800.813298
120.0,1749,802.526256
165.0,2061,804.495833
75.0,1097,805.548086
220.0,2365,807.842232
135.0,1537,809.317334
375.0,3373,812.60068
285.0,2613,815.224926
320.0,3033,818.16921
195.0,1931,819.992067
105.0,1445,821.396691
80.0,1119,822.504412
145.0,1391,823.819462
215.0,2071,825.804305
370.0,3183,828.878649
45.0,953,829.806436
240.0,2559,832.319742
710.0,3449,835.643119
35.0,1315,836.911959
315.0,2605,839.386419
135.0,1643,840.95002
530.0,2613,843.552145
190.0,1507,845.07548
200.0,1907,846.915615
260.0,2275,849.114321
135.0,1429,850.600805
240.0,2589,853.202027
220.0,2329,855.436513
260.0,1915,857.342762
275.0,2267,859.536744
150.0,1641,861.166095
190.0,1875,862.951401
155.0,1693,864.547983
165.0,1877,866.409894
335.0,2805,869.07356
215.0,1775,870.748601
135.0,2017,872.752202
170.0,1933,874.638007
125.0,1643,876.298191
165.0,2245,878.526789
160.0,1591,880.035356
270.0,2165,882.131283
675.0,4233,886.176377
260.0,3415,889.561489
285.0,2571,892.064291
30.0,1073,893.123481
215.0,2573,895.58129
370.0,3349,898.773347
245.0,1613,907.816401
230.0,1921,909.658
120.0,1145,910.761202
245.0,2247,913.0647
